"","Rho","N","P","P0","Rsq","Sure Screening Probability (Air-HOLP)","Sure Screening Probability (Ridge-HOLP)","Sure Screening Probability (SIS)","r"
"215",0.6,250,1250,12,0.25,0,0,0.002,591.364604365826
"216",0.9,250,1250,12,0.25,0,0,0,543.316596978441
"217",0,500,1250,12,0.25,0.162,0.098,0.202,656.726846067417
"218",0.3,500,1250,12,0.25,0.118,0.064,0.042,648.818488684439
"219",0.6,500,1250,12,0.25,0.076,0.038,0.02,622.25043553695
"220",0.9,500,1250,12,0.25,0.012,0.006,0.014,597.16511433299
"221",0,1000,1250,12,0.25,0.648,0.182,0.662,628.922953080466
"222",0.3,1000,1250,12,0.25,0.538,0.096,0.298,639.455220904392
"223",0.6,1000,1250,12,0.25,0.364,0.086,0.13,608.38612620422
"224",0.9,1000,1250,12,0.25,0.094,0.036,0.066,573.637621919415
"225",0,125,5000,12,0.25,0,0,0,1760.28836182883
"226",0.3,125,5000,12,0.25,0,0,0,1754.40355098307
"227",0.6,125,5000,12,0.25,0,0,0,1640.31583652752
"228",0.9,125,5000,12,0.25,0,0,0,1545.83138604924
"229",0,250,5000,12,0.25,0,0,0,2156.32205160169
"230",0.3,250,5000,12,0.25,0,0,0,2106.03079658352
"231",0.6,250,5000,12,0.25,0,0,0,2031.21739707927
"232",0.9,250,5000,12,0.25,0,0,0,1894.5467309503
"233",0,500,5000,12,0.25,0.03,0.022,0.022,2484.57926528113
"234",0.3,500,5000,12,0.25,0.012,0.008,0.008,2454.8233243084
"235",0.6,500,5000,12,0.25,0.002,0.004,0,2396.62993370442
"236",0.9,500,5000,12,0.25,0.002,0.004,0.002,2210.63631268834
"237",0,1000,5000,12,0.25,0.392,0.346,0.4,2730.93513801385
"238",0.3,1000,5000,12,0.25,0.314,0.266,0.156,2646.55323758318
"239",0.6,1000,5000,12,0.25,0.126,0.098,0.056,2667.13434252025
"240",0.9,1000,5000,12,0.25,0.044,0.04,0.046,2484.83384465039
"241",0,125,15000,12,0.25,0,0,0,4562.2663333922
"242",0.3,125,15000,12,0.25,0,0,0,4455.41448934307
"243",0.6,125,15000,12,0.25,0,0,0,4174.05950362943
"244",0.9,125,15000,12,0.25,0,0,0,3902.76826339374
"245",0,250,15000,12,0.25,0,0,0,5656.22650566039
"246",0.3,250,15000,12,0.25,0,0,0,5558.8221347828
"247",0.6,250,15000,12,0.25,0,0,0,5236.45494362294
"248",0.9,250,15000,12,0.25,0,0,0,4880.03549725046
"249",0,500,15000,12,0.25,0.01,0.01,0.014,6572.81508439446
"250",0.3,500,15000,12,0.25,0.008,0.006,0,6457.81578961813
"251",0.6,500,15000,12,0.25,0.004,0.004,0.002,6296.52109121151
"252",0.9,500,15000,12,0.25,0,0,0,5855.27137705077
"253",0,1000,15000,12,0.25,0.256,0.228,0.256,7440.39229488938
"254",0.3,1000,15000,12,0.25,0.146,0.132,0.046,7390.72966225125
"255",0.6,1000,15000,12,0.25,0.07,0.072,0.026,7145.54578840209
"256",0.9,1000,15000,12,0.25,0.024,0.022,0.028,6835.1387058785
"257",0,125,250,15,0.25,0,0,0,114.090393358057
"258",0.3,125,250,15,0.25,0,0,0,114.853935824446
"259",0.6,125,250,15,0.25,0,0,0,108.260116732111
"260",0.9,125,250,15,0.25,0,0,0,97.2784271549544
"261",0,250,250,15,0.25,0.014,0,0.01,107.4527530537
"262",0.3,250,250,15,0.25,0.006,0,0,105.613493080183
"263",0.6,250,250,15,0.25,0.002,0,0,99.385414598439
"264",0.9,250,250,15,0.25,0.002,0,0,90.5159363114301
"265",0,500,250,15,0.25,0.352,0.264,0.32,75.001411667439
"266",0.3,500,250,15,0.25,0.282,0.186,0.178,75.9990171511688
"267",0.6,500,250,15,0.25,0.19,0.124,0.122,68.2503739555801
"268",0.9,500,250,15,0.25,0.064,0.064,0.084,39.4663816216744
"269",0,1000,250,15,0.25,0.824,0.826,0.836,21.2807973656261
"270",0.3,1000,250,15,0.25,0.774,0.768,0.642,25.040788099901
"271",0.6,1000,250,15,0.25,0.696,0.696,0.652,20.9731408370542
"272",0.9,1000,250,15,0.25,0.62,0.618,0.68,6.721245890806
"273",0,125,1250,15,0.25,0,0,0,544.34026374517
"274",0.3,125,1250,15,0.25,0,0,0,538.985981238779
"275",0.6,125,1250,15,0.25,0,0,0,499.879141924113
"276",0.9,125,1250,15,0.25,0,0,0,459.708833835416
"277",0,250,1250,15,0.25,0,0,0,625.245673931642
"278",0.3,250,1250,15,0.25,0,0,0,616.574551166356
"279",0.6,250,1250,15,0.25,0,0,0,597.907667526984
"280",0.9,250,1250,15,0.25,0,0,0,558.817203533762
