"","Rho","N","P","P0","Rsq","Sure.Screening.Probability..Air.HOLP.","Sure.Screening.Probability..Ridge.HOLP.","Sure.Screening.Probability..SIS.","r"
"227",0.6,125,5000,12,0.25,0,0,0,765.95012979091
"228",0.9,125,5000,12,0.25,0,0,0,190.873133257149
"229",0,250,5000,12,0.25,0,0,0,2209.17455856781
"230",0.3,250,5000,12,0.25,0,0,0,1637.49275278369
"231",0.6,250,5000,12,0.25,0,0,0,938.217847640511
"232",0.9,250,5000,12,0.25,0,0,0,239.9243327161
"233",0,500,5000,12,0.25,0.01,0.01,0.01,2601.87194418817
"234",0.3,500,5000,12,0.25,0,0,0,1951.3808879682
"235",0.6,500,5000,12,0.25,0,0,0,1138.31599088644
"236",0.9,500,5000,12,0.25,0,0,0,294.109472272399
"237",0,1000,5000,12,0.25,0.254,0.164,0.278,2920.40486600053
"238",0.3,1000,5000,12,0.25,0.122,0.08,0.008,2221.47095756904
"239",0.6,1000,5000,12,0.25,0.066,0.044,0,1327.13578288381
"240",0.9,1000,5000,12,0.25,0.034,0.02,0,350.296504315188
"241",0,125,15000,12,0.25,0,0,0,4545.43881203044
"242",0.3,125,15000,12,0.25,0,0,0,3343.08391292861
"243",0.6,125,15000,12,0.25,0,0,0,1911.06335404744
"244",0.9,125,15000,12,0.25,0,0,0,477.212998015569
"245",0,250,15000,12,0.25,0,0,0,5749.0521673135
"246",0.3,250,15000,12,0.25,0,0,0,4117.71746140489
"247",0.6,250,15000,12,0.25,0,0,0,2396.92131661878
"248",0.9,250,15000,12,0.25,0,0,0,605.460489567364
"249",0,500,15000,12,0.25,0.002,0.002,0.002,6935.00265649834
"250",0.3,500,15000,12,0.25,0,0,0,5112.55011468296
"251",0.6,500,15000,12,0.25,0,0,0,2965.45554613609
"252",0.9,500,15000,12,0.25,0,0,0,762.274605248446
"253",0,1000,15000,12,0.25,0.114,0.09,0.122,7996.69771103708
"254",0.3,1000,15000,12,0.25,0.05,0.042,0.006,5949.84184275152
"255",0.6,1000,15000,12,0.25,0.032,0.022,0.004,3556.86421425462
"256",0.9,1000,15000,12,0.25,0.012,0.012,0,922.002857501168
"257",0,125,250,15,0.25,0,0,0,116.063199918285
"258",0.3,125,250,15,0.25,0,0,0,87.6517956922749
"259",0.6,125,250,15,0.25,0,0,0,50.2731109574701
"260",0.9,125,250,15,0.25,0,0,0,12.6107855636912
"261",0,250,250,15,0.25,0.002,0,0.002,112.329977193562
"262",0.3,250,250,15,0.25,0,0,0,83.5217205873358
"263",0.6,250,250,15,0.25,0,0,0,49.3466500044744
"264",0.9,250,250,15,0.25,0,0,0,12.4784453893232
"265",0,500,250,15,0.25,0.186,0.078,0.252,81.3677383411751
"266",0.3,500,250,15,0.25,0.066,0.028,0.01,61.87435183751
"267",0.6,500,250,15,0.25,0.038,0.028,0,37.0378527198545
"268",0.9,500,250,15,0.25,0.014,0.014,0.002,9.82085296718157
"269",0,1000,250,15,0.25,0.892,0.894,0.886,23.2741194741423
"270",0.3,1000,250,15,0.25,0.612,0.602,0.06,19.4040517082429
"271",0.6,1000,250,15,0.25,0.424,0.422,0.022,12.2001548071175
"272",0.9,1000,250,15,0.25,0.2,0.206,0.002,3.38109843909053
"273",0,125,1250,15,0.25,0,0,0,545.963091899844
"274",0.3,125,1250,15,0.25,0,0,0,400.296988743088
"275",0.6,125,1250,15,0.25,0,0,0,231.435515886986
"276",0.9,125,1250,15,0.25,0,0,0,57.8350890592771
"277",0,250,1250,15,0.25,0,0,0,646.096718341014
"278",0.3,250,1250,15,0.25,0,0,0,477.386804767382
"279",0.6,250,1250,15,0.25,0,0,0,279.103859135768
"280",0.9,250,1250,15,0.25,0,0,0,69.8538328834984
"281",0,500,1250,15,0.25,0.01,0,0.01,707.091427464574
"282",0.3,500,1250,15,0.25,0,0,0,534.52697110608
"283",0.6,500,1250,15,0.25,0,0,0,317.409018373394
"284",0.9,500,1250,15,0.25,0,0,0,82.9651619290693
"285",0,1000,1250,15,0.25,0.28,0.006,0.328,699.499637219403
"286",0.3,1000,1250,15,0.25,0.108,0,0.01,543.197889419576
"287",0.6,1000,1250,15,0.25,0.094,0,0.004,326.861387417214
"288",0.9,1000,1250,15,0.25,0.04,0.008,0,88.4953716190106
"289",0,125,5000,15,0.25,0,0,0,1809.76739468384
"290",0.3,125,5000,15,0.25,0,0,0,1316.49321926655
"291",0.6,125,5000,15,0.25,0,0,0,752.923852428391
"292",0.9,125,5000,15,0.25,0,0,0,189.576738831609
"293",0,250,5000,15,0.25,0,0,0,2219.965734425
"294",0.3,250,5000,15,0.25,0,0,0,1639.11281508036
"295",0.6,250,5000,15,0.25,0,0,0,949.071416573083
"296",0.9,250,5000,15,0.25,0,0,0,238.584620459863
"297",0,500,5000,15,0.25,0,0,0,2656.27855801936
"298",0.3,500,5000,15,0.25,0,0,0,1968.71309400264
"299",0.6,500,5000,15,0.25,0,0,0,1155.39874111885
"300",0.9,500,5000,15,0.25,0,0,0,297.177200374798
"301",0,1000,5000,15,0.25,0.068,0.042,0.062,2956.85640986158
"302",0.3,1000,5000,15,0.25,0.024,0.01,0.002,2242.1505835621
"303",0.6,1000,5000,15,0.25,0.022,0.018,0,1343.14908005416
"304",0.9,1000,5000,15,0.25,0.004,0,0,350.336540569665
"305",0,125,15000,15,0.25,0,0,0,4529.15351326934
"306",0.3,125,15000,15,0.25,0,0,0,3330.6579869804
"307",0.6,125,15000,15,0.25,0,0,0,1912.34968827529
"308",0.9,125,15000,15,0.25,0,0,0,478.250438014631
"309",0,250,15000,15,0.25,0,0,0,5813.23217264944
"310",0.3,250,15000,15,0.25,0,0,0,4215.93910176763
"311",0.6,250,15000,15,0.25,0,0,0,2421.00992785485
"312",0.9,250,15000,15,0.25,0,0,0,607.843640822972
"313",0,500,15000,15,0.25,0,0,0,7045.94255217226
"314",0.3,500,15000,15,0.25,0,0,0,5170.00282236429
"315",0.6,500,15000,15,0.25,0,0,0,3008.27945259369
"316",0.9,500,15000,15,0.25,0,0,0,763.527315082406
"317",0,1000,15000,15,0.25,0.004,0.004,0.008,8102.92094354327
"318",0.3,1000,15000,15,0.25,0,0,0,6060.5329523481
"319",0.6,1000,15000,15,0.25,0.004,0,0,3606.39531814213
"320",0.9,1000,15000,15,0.25,0.002,0.002,0,927.647523477646
"321",0,125,250,3,0.5,0.97,0.946,0.96,76.3858781280076
"322",0.3,125,250,3,0.5,0.948,0.874,0.5,63.2351063805465
"323",0.6,125,250,3,0.5,0.78,0.724,0.152,40.1460589519404
"324",0.9,125,250,3,0.5,0.444,0.444,0.022,11.5124070144742
"325",0,250,250,3,0.5,0.998,0.986,1,68.4997953869728
"326",0.3,250,250,3,0.5,0.992,0.966,0.622,56.5260979953912
"327",0.6,250,250,3,0.5,0.944,0.888,0.308,36.6413719456433
"328",0.9,250,250,3,0.5,0.666,0.654,0.042,11.0971283845996
"329",0,500,250,3,0.5,1,1,1,47.504772199337
"330",0.3,500,250,3,0.5,1,1,0.642,38.8627628840619
"331",0.6,500,250,3,0.5,0.994,0.99,0.342,26.2228862132563
"332",0.9,500,250,3,0.5,0.854,0.85,0.252,8.47025797893772
"333",0,1000,250,3,0.5,1,1,1,11.1353398685421
"334",0.3,1000,250,3,0.5,1,1,0.672,10.2633491603439
"335",0.6,1000,250,3,0.5,1,1,0.376,7.18481362711494
"336",0.9,1000,250,3,0.5,0.98,0.982,0.27,2.61022900546036
"337",0,125,1250,3,0.5,0.908,0.894,0.898,382.125058060849
"338",0.3,125,1250,3,0.5,0.82,0.798,0.352,309.363910675957
"339",0.6,125,1250,3,0.5,0.66,0.628,0.04,191.588587175926
"340",0.9,125,1250,3,0.5,0.298,0.286,0.006,53.8548108056002
"341",0,250,1250,3,0.5,0.996,0.994,0.996,421.599345645997
"342",0.3,250,1250,3,0.5,0.988,0.974,0.51,338.894062792567
"343",0.6,250,1250,3,0.5,0.884,0.856,0.176,217.32043854749
"344",0.9,250,1250,3,0.5,0.54,0.512,0.01,63.2232220360277
"345",0,500,1250,3,0.5,1,1,1,450.205663164721
"346",0.3,500,1250,3,0.5,0.994,0.99,0.606,362.864366627937
"347",0.6,500,1250,3,0.5,0.97,0.946,0.334,238.048451086911
"348",0.9,500,1250,3,0.5,0.712,0.678,0.072,72.6572459611737
"349",0,1000,1250,3,0.5,1,1,1,443.627443974602
"350",0.3,1000,1250,3,0.5,1,1,0.63,362.572157775264
"351",0.6,1000,1250,3,0.5,0.996,0.958,0.37,240.658505686661
"352",0.9,1000,1250,3,0.5,0.904,0.782,0.18,73.9372632490483
"353",0,125,5000,3,0.5,0.77,0.772,0.776,1355.97413913734
"354",0.3,125,5000,3,0.5,0.616,0.606,0.178,1094.84545486627
"355",0.6,125,5000,3,0.5,0.416,0.414,0.026,647.76104917929
"356",0.9,125,5000,3,0.5,0.116,0.11,0,181.836734135942
"357",0,250,5000,3,0.5,0.986,0.986,0.986,1534.22753243637
"358",0.3,250,5000,3,0.5,0.942,0.938,0.436,1234.71429535315
"359",0.6,250,5000,3,0.5,0.758,0.754,0.112,774.338015664105
"360",0.9,250,5000,3,0.5,0.462,0.454,0.002,219.723509124163
"361",0,500,5000,3,0.5,0.998,0.998,0.998,1764.30923069941
"362",0.3,500,5000,3,0.5,0.998,0.998,0.544,1412.70863227207
"363",0.6,500,5000,3,0.5,0.948,0.942,0.26,898.978161543969
"364",0.9,500,5000,3,0.5,0.694,0.67,0.01,263.91766373336
"365",0,1000,5000,3,0.5,1,1,1,1945.53378229554
"366",0.3,1000,5000,3,0.5,1,1,0.672,1584.26110983966
"367",0.6,1000,5000,3,0.5,0.994,0.994,0.388,1017.72619259594
"368",0.9,1000,5000,3,0.5,0.82,0.792,0.09,309.927097349212
"369",0,125,15000,3,0.5,0.672,0.668,0.668,3608.80118497422
"370",0.3,125,15000,3,0.5,0.484,0.484,0.078,2898.20412015659
"371",0.6,125,15000,3,0.5,0.324,0.32,0.002,1742.50250441317
"372",0.9,125,15000,3,0.5,0.074,0.068,0,461.83081036595
"373",0,250,15000,3,0.5,0.958,0.96,0.954,4136.62180516145
"374",0.3,250,15000,3,0.5,0.902,0.906,0.414,3268.53863235599
"375",0.6,250,15000,3,0.5,0.714,0.706,0.08,2029.48360588723
"376",0.9,250,15000,3,0.5,0.326,0.322,0.002,572.651610903059
"377",0,500,15000,3,0.5,0.996,0.996,0.996,4819.01514312548
"378",0.3,500,15000,3,0.5,0.99,0.992,0.53,3818.3204438613
"379",0.6,500,15000,3,0.5,0.942,0.938,0.222,2408.07268561127
"380",0.9,500,15000,3,0.5,0.614,0.614,0.012,682.926423665607
"381",0,1000,15000,3,0.5,1,1,1,5479.44021536692
"382",0.3,1000,15000,3,0.5,1,1,0.606,4394.289810861
"383",0.6,1000,15000,3,0.5,0.992,0.988,0.342,2869.16149137762
"384",0.9,1000,15000,3,0.5,0.752,0.736,0.032,835.4328927677
"385",0,125,250,6,0.5,0.526,0.386,0.478,82.096747651629
"386",0.3,125,250,6,0.5,0.374,0.25,0.07,65.9304242870286
"387",0.6,125,250,6,0.5,0.238,0.184,0.016,41.5875982651819
"388",0.9,125,250,6,0.5,0.096,0.096,0.002,11.568722244667
"389",0,250,250,6,0.5,0.962,0.746,0.946,71.9611167995047
"390",0.3,250,250,6,0.5,0.848,0.61,0.198,58.6233289800994
"391",0.6,250,250,6,0.5,0.67,0.5,0.056,38.6041082314031
